comparison,cohort,source_st,target_st,n_seeds,sc_spearman_mean,sc_spearman_sd,aligned_spearman_mean,aligned_spearman_sd,delta_spearman_mean,delta_spearman_sd,sc_mae_mean,sc_mae_sd,aligned_mae_mean,aligned_mae_sd,delta_mae_mean,delta_mae_sd,top32_sc_mean,top32_sc_sd,top32_aligned_mean,top32_aligned_sd,delta_top32_mean,delta_top32_sd,top64_sc_mean,top64_sc_sd,top64_aligned_mean,top64_aligned_sd,delta_top64_mean,delta_top64_sd,top128_sc_mean,top128_sc_sd,top128_aligned_mean,top128_aligned_sd,delta_top128_mean,delta_top128_sd,top64_gained_mean,top64_gained_sd,top64_lost_mean,top64_lost_sd,spearman_improved_seeds,mae_improved_seeds,top64_improved_seeds
AD-HC / X5704,AD,X4870NOHC,X5704ADHC,5,0.2788189809562612,0.02298256774745758,0.38744166608622976,0.03792310200032925,0.10862268512996857,0.03070791784651759,80.79863481228668,1.323941771773727,73.49215017064846,2.359572055758558,-7.306484641638226,1.6990870373795652,7.8,1.3038404810405297,14.6,1.6733200530681511,6.8,0.8366600265340756,19.8,2.8635642126552705,24.8,1.6431676725154982,5.0,1.8708286933869707,69.0,2.5495097567963922,71.2,3.5637059362410923,2.2,2.16794833886788,15.2,0.8366600265340756,10.2,1.30384048104053,5,5,5
AD-HC / X5789,AD,X4870NOHC,X5789ADHC,5,0.291965543990283,0.019024801790328415,0.374278405550822,0.03799834508970786,0.08231286156053896,0.024957188643990356,81.46757679180887,1.907034572160653,75.20546075085323,3.2695732715591617,-6.26211604095563,2.197250433826625,8.0,1.224744871391589,13.2,1.30384048104053,5.2,1.6431676725154984,18.4,1.9493588689617927,25.0,1.4142135623730951,6.6,2.3021728866442674,66.0,3.0,67.6,3.209361307176242,1.6,3.507135583350036,16.2,2.04939015319192,9.6,1.9493588689617927,5,5,5
AD-FC / X5665,AD,X4996NOFC,X5665ADFC,5,0.21294552511733578,0.021636809469817688,0.34446058006165675,0.029345580383519296,0.131515054944321,0.03006631715170394,85.90853242320819,1.6732713237754944,76.39453924914676,2.211342840508061,-9.513993174061435,1.7853607363218638,5.6,0.8944271909999159,14.4,0.8944271909999157,8.8,1.4832396974191326,18.0,1.224744871391589,24.2,1.4832396974191326,6.2,0.8366600265340756,64.8,2.9495762407505253,71.2,1.7888543819998317,6.4,4.33589667773576,16.6,0.5477225575051661,10.4,0.8944271909999159,5,5,5
PD-FC / X5215,PD,X4996NOFC,X5215PDFC,5,0.19713709411952168,0.03478205405897368,0.3803550556694696,0.01989615508736316,0.183217961549948,0.01927422837335226,87.37474402730376,2.806675372118608,74.9419795221843,1.2436609057008428,-12.43276450511945,2.528545461246098,6.2,0.4472135954999579,12.4,1.6733200530681511,6.2,1.9235384061671343,15.8,1.7888543819998317,25.6,1.1401754250991378,9.8,0.8366600265340756,63.2,2.4899799195977463,71.0,2.0,7.8,1.9235384061671346,18.8,0.8366600265340756,9.0,1.0,5,5,5
