training_seed	panel_size	panel	metric	value	n_shared_genes	n_test_cells
4	32	source_smith	cell_type_weighted_f1	0.7032263795953191	32	18082
4	32	multi_visium_smith	cell_type_accuracy	0.6920694613427718	32	18082
4	32	multi_visium_smith	cell_type_balanced_accuracy	0.7000165313109301	32	18082
4	32	multi_visium_smith	cell_type_macro_f1	0.6430865719692658	32	18082
4	32	multi_visium_smith	cell_type_weighted_f1	0.6984593762370458	32	18082
4	64	source_smith	cell_type_accuracy	0.7386351067359805	64	18082
4	64	source_smith	cell_type_balanced_accuracy	0.7570749588716933	64	18082
4	64	source_smith	cell_type_macro_f1	0.7022997491329721	64	18082
4	64	source_smith	cell_type_weighted_f1	0.743278235675417	64	18082
4	64	multi_visium_smith	cell_type_accuracy	0.7674482911182391	64	18082
4	64	multi_visium_smith	cell_type_balanced_accuracy	0.8130653757812154	64	18082
4	64	multi_visium_smith	cell_type_macro_f1	0.7616734151249479	64	18082
4	64	multi_visium_smith	cell_type_weighted_f1	0.7715209799515759	64	18082
4	128	source_smith	cell_type_accuracy	0.7738082070567415	128	18082
4	128	source_smith	cell_type_balanced_accuracy	0.7803440487670789	128	18082
4	128	source_smith	cell_type_macro_f1	0.7317456051389465	128	18082
4	128	source_smith	cell_type_weighted_f1	0.7778605146620263	128	18082
4	128	multi_visium_smith	cell_type_accuracy	0.8526158610773145	128	18082
4	128	multi_visium_smith	cell_type_balanced_accuracy	0.8793686895464469	128	18082
4	128	multi_visium_smith	cell_type_macro_f1	0.8421361172024677	128	18082
4	128	multi_visium_smith	cell_type_weighted_f1	0.8556497012743762	128	18082
5	32	source_smith	cell_type_accuracy	0.6695055856653025	32	18082
5	32	source_smith	cell_type_balanced_accuracy	0.6902746642613911	32	18082
5	32	source_smith	cell_type_macro_f1	0.6343608875025297	32	18082
5	32	source_smith	cell_type_weighted_f1	0.67762307437729	32	18082
5	32	multi_visium_smith	cell_type_accuracy	0.7488109722375843	32	18082
5	32	multi_visium_smith	cell_type_balanced_accuracy	0.7948985050503068	32	18082
5	32	multi_visium_smith	cell_type_macro_f1	0.7334086417744438	32	18082
5	32	multi_visium_smith	cell_type_weighted_f1	0.7532808100430072	32	18082
5	64	source_smith	cell_type_accuracy	0.7484791505364451	64	18082
5	64	source_smith	cell_type_balanced_accuracy	0.7557233267453536	64	18082
5	64	source_smith	cell_type_macro_f1	0.7048932050826049	64	18082
5	64	source_smith	cell_type_weighted_f1	0.7530720546879658	64	18082
5	64	multi_visium_smith	cell_type_accuracy	0.8531135936290234	64	18082
5	64	multi_visium_smith	cell_type_balanced_accuracy	0.8833712039425345	64	18082
5	64	multi_visium_smith	cell_type_macro_f1	0.839400680011935	64	18082
5	64	multi_visium_smith	cell_type_weighted_f1	0.8560954962938894	64	18082
5	128	source_smith	cell_type_accuracy	0.8711978763411127	128	18082
5	128	source_smith	cell_type_balanced_accuracy	0.8908792496620366	128	18082
5	128	source_smith	cell_type_macro_f1	0.8543652730504633	128	18082
5	128	source_smith	cell_type_weighted_f1	0.8736967994489092	128	18082
5	128	multi_visium_smith	cell_type_accuracy	0.8827010286472735	128	18082
5	128	multi_visium_smith	cell_type_balanced_accuracy	0.8999935274354264	128	18082
5	128	multi_visium_smith	cell_type_macro_f1	0.8663383020627339	128	18082
5	128	multi_visium_smith	cell_type_weighted_f1	0.8848171566241618	128	18082
