dataset,method,num_markers,n_runs,celltype_knn_accuracy_mean,celltype_knn_accuracy_std,time_knn_pearson_mean,time_knn_pearson_std,spatial_pearson_mean,spatial_pearson_std,knn_overlap_mean_avg_mean,knn_overlap_mean_avg_std
elegans_mirna,activeSVM,12,5,0.35254855222314585,0.012968481385128785,0.9669197205721014,0.01314296545298256,,,0.275626,0.01571284071494824
elegans_mirna,persist_sup,12,5,0.3563106443582492,0.010998716272884679,0.958312826526195,0.008908166197335908,,,0.27654066666666666,0.010058712751750189
elegans_mirna,persist_unsup,12,5,0.32897809699382413,0.012027844053355146,0.9604207487307581,0.0034074640618515246,,,0.355392,0.02570668866700303
elegans_mirna,scGIST,12,5,0.2776013197292725,0.01206711965685781,0.8392043156769405,0.09083033974371979,,,0.20966799999999997,0.03668584056250832
elegans_mirna,scGeneFit,12,5,0.31304438645233834,0.007958492580715371,0.9494816381926172,0.022772230917699927,,,0.3557113333333334,0.016986543628544484
elegans_mirna,spapros,12,2,0.29961767986049404,0.00047673750258772743,0.786102189450077,0.0032989054313316184,,,0.2304633333333333,0.0018384776310850174
elegans_mirna,activeSVM,16,5,0.37644299803004816,0.012464285676226266,0.9744708764502926,0.004208957473982392,,,0.33183066666666666,0.014338917013188623
elegans_mirna,persist_sup,16,5,0.36935760035504456,0.009822492245769565,0.9502250018661315,0.042423060183849746,,,0.3490406666666666,0.006613021414015092
elegans_mirna,persist_unsup,16,5,0.3591329634361466,0.013282038086790616,0.9618860759505757,0.008142940300200385,,,0.44108066666666657,0.016398403445322222
elegans_mirna,scGIST,16,5,0.31814329347470266,0.012693873389387562,0.8828196236889052,0.07050832090073371,,,0.33570466666666665,0.02546327099961826
elegans_mirna,scGeneFit,16,5,0.35706765453573774,0.016614457170595218,0.9668561986607065,0.004488903505343366,,,0.4656593333333333,0.03385526263046527
elegans_mirna,spapros,16,2,0.3219495381598595,0.0029695568745897105,0.8183820332637887,0.0056427147975277436,,,0.3033933333333333,0.001206795573225018
elegans_mirna,activeSVM,24,5,0.40378262595595754,0.012400514802989662,0.9767351606591841,0.003577698173502382,,,0.4322393333333333,0.005933159828923852
elegans_mirna,persist_sup,24,5,0.38900426975430713,0.014292363971229039,0.9656151339603716,0.008801513268134283,,,0.4911953333333334,0.01380972575960709
elegans_mirna,persist_unsup,24,5,0.3799147617144939,0.013607662323043546,0.963619001959698,0.005945959320336061,,,0.5700113333333332,0.0393779414139439
elegans_mirna,scGIST,24,5,0.3563647172189875,0.01745198983149495,0.9058439639079282,0.05741480547122347,,,0.5448660000000001,0.04250920902842375
elegans_mirna,scGeneFit,24,5,0.38030705500791673,0.02115232091058186,0.9577862284981018,0.026223694039333688,,,0.5882553333333334,0.028227661039798815
